General/update_step,_step,_runtime,global_step,_timestamp,General/shaped_reward_agent0,Evaluation/1__cramped_room,Evaluation/2__asymm_advantages,Losses/entropy,Losses/total_loss,Evaluation/4__no_cooperation,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Scaled_returns/evaluation_4__no_cooperation_scaled,returned_episode_lengths,Evaluation/0__smallest_kitchen,General/learning_rate,Scaled_returns/evaluation_1__cramped_room_scaled,Scaled_returns/evaluation_2__asymm_advantages_scaled,Losses/actor_loss,Scaled_returns/evaluation_3__square_arena_scaled,General/steps_for_env,General/env_index,Advantage_Targets/targets,Scaled_returns/evaluation_5__easy_layout_scaled,returned_episode,General/shaped_reward_annealed_agent0,Losses/reg_loss,Evaluation/5__easy_layout,returned_episode_returns,General/explore,Scaled_returns/returned_episode_returns_scaled,General/shaped_reward_agent1,Evaluation/3__square_arena,Losses/value_loss,General/env_step,reward,explore,General/shaped_reward_annealed_agent1,Advantage_Targets/advantages
,4145,961.014371774,8937,1746881169.6385922,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0043945312,,,,,,,
,4147,961.014401496,8937,1746881169.6386492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031300313,
,4162,961.014791813,8937,1746881169.6399817,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,,,,,,
,4178,961.015145003,9012,1746881174.263496,,,,,,,,,,,0.0003,,,,,,,,,,,,,,,,,,,,,,,
,4210,961.016010048,9087,1746881178.8884797,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
,4212,961.01625201,9087,1746881178.888546,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,4237,961.016580742,9162,1746881183.5160985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02988097
,4358,961.018001918,9387,1746881197.400172,,,,,,,,,,,,,,,,3225600.0,,,,,,,,,,,,,,,,,,
1575.0,4359,961.018012537,9387,1746881197.4002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4367,961.018105947,9387,1746881197.4008803,,,,,,,,,,,,,0.04405286,,,,,,,,,,,,,,,,,,,,,
,4393,961.018414988,9462,1746881202.0265703,,,,,,,,,,,,,,,,3379200.0,,,,,,,,,,,,,,,,,,
,4417,961.018692877,9537,1746881206.6515162,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
,4427,961.019106303,9537,1746881206.6522238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008183437,
,4437,961.019325519,9537,1746881206.6533275,,,,,,,,,,,,,0.04405286,,,,,,,,,,,,,,,,,,,,,
,4460,961.020064454,9612,1746881211.2775993,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01953125,,,,,,,
,4484,961.020355532,9687,1746881216.0072103,,,,,,,,,,256.0,,,,,,,,,,,,,,,,,,,,,,,,
