returned_episode_lengths,_step,_runtime,global_step,_timestamp,General/learning_rate,reward,Scaled_returns/evaluation_2__square_arena_scaled,General/explore,General/shaped_reward_agent0,General/shaped_reward_annealed_agent1,Losses/reg_loss,Losses/total_loss,Scaled_returns/evaluation_1__no_cooperation_scaled,Scaled_returns/evaluation_0__asymm_advantages_scaled,General/env_index,General/steps_for_env,Evaluation/0__asymm_advantages,Scaled_returns/evaluation_3__smallest_kitchen_scaled,Losses/actor_loss,Losses/entropy,Evaluation/2__square_arena,Evaluation/1__no_cooperation,Scaled_returns/evaluation_4__easy_layout_scaled,Scaled_returns/returned_episode_returns_scaled,explore,Losses/value_loss,returned_episode_returns,Advantage_Targets/advantages,returned_episode,General/shaped_reward_annealed_agent0,General/env_step,Scaled_returns/evaluation_5__cramped_room_scaled,General/update_step,Evaluation/3__smallest_kitchen,General/shaped_reward_agent1,Evaluation/5__cramped_room,Advantage_Targets/targets,Evaluation/4__easy_layout
,3980,961.026408482,8562,1746881191.74093,,,,,,,,,,1.0220264,,,,,,,,,,,,,,,,,,,,,,,,
,4003,961.026996915,8637,1746881196.3853166,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4022,961.027236112,8637,1746881196.3869393,,,,,,,,,,,,,,,,,,,,,,,,,0.0078125,,,,,,,,,
,4050,961.027570463,8712,1746881201.030722,,,,,,,,,,1.0044053,,,,,,,,,,,,,,,,,,,,,,,,
,4062,961.027704046,8787,1746881205.6717522,,,,,,,,,,,,,,,,,,,,,,,,0.0022402813,,,,,,,,,,
,4102,961.028157869,8862,1746881210.3132906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
,4104,961.028180105,8862,1746881210.31335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
,4124,961.028407495,8862,1746881210.3154914,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
,4126,961.028430029,8862,1746881210.3155475,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
,4165,961.028869507,8937,1746881214.956058,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4166,961.028880607,8937,1746881214.9560974,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
,4178,961.029013667,9012,1746881219.5936747,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4180,961.029035478,9012,1746881219.593731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
,4189,961.02914699,9012,1746881219.594596,,,,,,,,,,,,,,,,,,,,,,6.2104256e-05,,,,,,,,,,,,
,4226,961.029572068,9087,1746881224.2335765,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
