_step,_runtime,General/env_index,global_step,_timestamp,Losses/actor_loss,Scaled_returns/evaluation_4__easy_layout_scaled,reward,General/shaped_reward_agent1,Scaled_returns/evaluation_0__smallest_kitchen_scaled,Evaluation/4__easy_layout,Evaluation/5__cramped_room,Advantage_Targets/advantages,General/env_step,General/update_step,Losses/total_loss,explore,General/explore,General/shaped_reward_annealed_agent0,Scaled_returns/evaluation_2__asymm_advantages_scaled,Evaluation/1__square_arena,returned_episode,General/learning_rate,Evaluation/2__asymm_advantages,returned_episode_returns,General/shaped_reward_annealed_agent1,Losses/reg_loss,General/steps_for_env,Scaled_returns/evaluation_5__cramped_room_scaled,returned_episode_lengths,Evaluation/3__no_cooperation,Scaled_returns/evaluation_3__no_cooperation_scaled,Losses/value_loss,Scaled_returns/evaluation_1__square_arena_scaled,Evaluation/0__smallest_kitchen,General/shaped_reward_agent0,Advantage_Targets/targets,Scaled_returns/returned_episode_returns_scaled,Losses/entropy,task_2_2__asymm_advantages
2167,480.881514612,,4656.0,1746880808.19004,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
2202,600.901153129,,4731.0,1746880812.6130872,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,
2247,600.902551474,,4881.0,1746880821.4593055,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2358,600.903914885,,5106.0,1746880834.7353158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2359,600.903927875,,5106.0,1746880834.7353444,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,600.904553706,,5181.0,1746880839.1626015,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2424,600.90467882,1.0,5256.0,1746880843.5849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,600.904773707,,5256.0,1746880843.5860016,,,,,,,,,,,,,,,,,,,,,,,2764800.0,,,,,,,,,,,,
2440,600.904863264,,5256.0,1746880843.587005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
2444,600.904907955,,5256.0,1746880843.5872092,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2476,600.905485785,,5331.0,1746880848.012686,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2507,600.906145383,,5406.0,1746880852.437682,,,,,,,,,,,2.1621523,,,,,,,,,,,,,,,,,,,,,,,,
2509,600.906260335,,5406.0,1746880852.438375,,,,,0.96062994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,600.906311898,,5406.0,1746880852.438473,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
2515,600.906363257,,5406.0,1746880852.4386926,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
2525,600.906716734,,5481.0,1746880856.8614311,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2528,600.906755211,,5481.0,1746880856.861527,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,600.906816073,,5481.0,1746880856.862201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
2572,600.907262539,,5556.0,1746880861.289657,,,,,,,,,,,,,,,,,,,,,,,3379200.0,,,,,,,,,,,,
2583,600.907392153,,5556.0,1746880861.2905705,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
